taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit,wiki_lookup_taxonid,wiki_lookup_source,wiki_title,wiki_language,wiki_project,wiki_url,wikidata_url,wikidata_image_url,popularity
18,22182349,2016-03-01T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/18/22182349,"Bernal, N. 2016. Abrocoma boliviensis. The IUCN Red List of Threatened Species 2016: e.T18A22182349. Accessed on 22 June 2026.",Abrocoma boliviensis,Bolivian Chinchilla Rat,CR,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,CR,Mammals,True,False,CR,-64.5210696765867,-17.903817451943286,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,18,self,57.44886520001662,57.44886520001662,57.44886520001662,,MAMMALS_PART1.shp,IUCN SSC Small Mammal Specialist Group,2016,,,IUCN SSC Small Mammal Specialist Group 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,18,self,Bolivian_chinchilla_rat,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Bolivian_chinchilla_rat,https://www.wikidata.org/entity/Q1769964,,1321
137,220501878,2022-07-10T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/137/220501878,"Sheherazade, Tsang, S.M. & Matorang, Z. 2022. Acerodon celebensis. The IUCN Red List of Threatened Species 2022: e.T137A220501878. Accessed on 22 June 2026.",Acerodon celebensis,Sulawesi Fruit Bat,VU,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,121.22257187081289,-2.080174158572677,range_polygon,1,1,7,1,7,200,1.0,1,Extant,1,Resident,137,self,176896.93282477502,176896.93282477502,176896.93282477502,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2022,,,IUCN (International Union for Conservation of Nature) 2022. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,137,self,Sulawesi_flying_fox,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Sulawesi_flying_fox,https://www.wikidata.org/entity/Q301834,https://commons.wikimedia.org/wiki/Special:FilePath/Acerodon%20celebensis.JPG,2834
138,115517951,2015-06-20T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/138/115517951,"Mildenstein, T. 2016. Acerodon humilis (errata version published in 2017). The IUCN Red List of Threatened Species 2016: e.T138A115517951. Accessed on 22 June 2026.",Acerodon humilis,Talaud Fruit Bat,EN,Decreasing,,,1577,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,126.77678258089652,4.253360721405041,range_polygon,1,1,2,1,2,200,1.0,1,Extant,1,Resident,138,self,931.6727063383684,931.6727063383684,931.6727063383684,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,138,self,Talaud_flying_fox,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Talaud_flying_fox,https://www.wikidata.org/entity/Q301625,,1055
139,21988328,2016-04-05T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/139/21988328,"Mildenstein, T. & Paguntalan, L. 2016. Acerodon jubatus. The IUCN Red List of Threatened Species 2016: e.T139A21988328. Accessed on 22 June 2026.",Acerodon jubatus,Golden-capped Fruit Bat,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,122.9632784548598,7.990285584684901,range_polygon,1,1,24,1,24,200,1.0,1,Extant,1,Resident,139,self,144059.33342848442,144059.33342848442,144059.33342848442,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,139,self,Giant_golden-crowned_flying_fox,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Giant_golden-crowned_flying_fox,https://www.wikidata.org/entity/Q775576,https://commons.wikimedia.org/wiki/Special:FilePath/Acerodon%20jubatus%20by%20Gregg%20Yan.jpg,271677
140,21988055,2019-04-23T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/140/21988055,"Mildenstein, T., Widmann, P., Lacerna, I., Paguntalan, L. & Jakosalem, P.G. 2020. Acerodon leucotis. The IUCN Red List of Threatened Species 2020: e.T140A21988055. Accessed on 22 June 2026.",Acerodon leucotis,Palawan Fruit Bat,VU,Decreasing,,,41348,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,118.63638681416812,9.87039840244472,range_polygon,1,1,3,1,3,200,1.0,1,Extant,1,Resident,140,self,12768.836858178953,12768.836858178953,12768.836858178953,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,140,self,Palawan_fruit_bat,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Palawan_fruit_bat,https://www.wikidata.org/entity/Q301741,,2211
142,21989107,2015-04-20T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/142/21989107,"Mildenstein, T. 2016. Acerodon mackloti. The IUCN Red List of Threatened Species 2016: e.T142A21989107. Accessed on 22 June 2026.",Acerodon mackloti,Sunda Fruit Bat,VU,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,120.59494883179836,-8.516314398223724,range_polygon,1,1,7,1,7,200,1.0,1,Extant,1,Resident,142,self,74682.88862059775,74682.88862059775,74682.88862059775,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,142,self,Sunda_flying_fox,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Sunda_flying_fox,https://www.wikidata.org/entity/Q301200,https://commons.wikimedia.org/wiki/Special:FilePath/Acerodon%20macklotii.jpg,1250
219,259025524,2021-05-17T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/219/259025524,"Durant, S.M., Groom, R., Ipavec, A., Mitchell, N. & Khalatbari, L. 2024. Acinonyx jubatus (amended version of 2023 assessment). The IUCN Red List of Threatened Species 2024: e.T219A259025524. Accessed on 22 June 2026.",Acinonyx jubatus,Cheetah,VU,Decreasing,6517,3123830,27720178,species,,"[220, 221, 231957008]",MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,16.94826187186885,-21.93101748584269,range_polygon,1,2,77,6,52,200,0.4378060930915632,1,Extant,1,Resident,219,self,3191571.4223466003,1397289.4152402484,1397289.4152402484,,MAMMALS_PART2.shp,Durant et al. 2023,2024,,,Durant et al. 2023 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,219,self,Cheetah,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Cheetah,https://www.wikidata.org/entity/Q23907,https://commons.wikimedia.org/wiki/Special:FilePath/TheCheethcat.jpg,854072
219,259025524,2021-05-17T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/219/259025524,"Durant, S.M., Groom, R., Ipavec, A., Mitchell, N. & Khalatbari, L. 2024. Acinonyx jubatus (amended version of 2023 assessment). The IUCN Red List of Threatened Species 2024: e.T219A259025524. Accessed on 22 June 2026.",Acinonyx jubatus,Cheetah,VU,Decreasing,6517,3123830,27720178,species,,"[220, 221, 231957008]",MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,5.3593292239888735,23.278204013126597,range_polygon,2,2,77,6,3,200,0.2425801976150844,1,Extant,1,Resident,219,self,3191571.4223466003,774212.0263354946,774212.0263354946,,MAMMALS_PART2.shp,Durant et al. 2023,2024,,,Durant et al. 2023 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,219,self,Cheetah,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Cheetah,https://www.wikidata.org/entity/Q23907,https://commons.wikimedia.org/wiki/Special:FilePath/TheCheethcat.jpg,854072
512,50180603,2016-04-27T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/512/50180603,IUCN SSC Antelope Specialist Group 2016. Addax nasomaculatus. The IUCN Red List of Threatened Species 2016: e.T512A50180603. Accessed on 22 June 2026.,Addax nasomaculatus,Addax,CR,Decreasing,30-90,,,species,,[],MAMMALIA,MAMMALS,CR,Mammals,True,False,CR,12.682267479885274,16.487846616263134,range_polygon,1,2,4,2,3,200,0.7927673748055833,1,Extant,1,Resident,512,self,33544.03967205176,26592.620271186817,26592.620271186817,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2016,,,IUCN (International Union for Conservation of Nature) 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,512,self,Addax,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Addax,https://www.wikidata.org/entity/Q190154,https://commons.wikimedia.org/wiki/Special:FilePath/Addax%20%28Addax%20nasomaculatus%29%20adult%20male%20and%20juvenile.jpg,57549
512,50180603,2016-04-27T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/512/50180603,IUCN SSC Antelope Specialist Group 2016. Addax nasomaculatus. The IUCN Red List of Threatened Species 2016: e.T512A50180603. Accessed on 22 June 2026.,Addax nasomaculatus,Addax,CR,Decreasing,30-90,,,species,,[],MAMMALIA,MAMMALS,CR,Mammals,True,False,CR,-9.776402697927654,20.761543926915767,range_polygon,2,2,4,2,1,200,0.2072326251944165,1,Extant,1,Resident,512,self,33544.03967205176,6951.419400864943,6951.419400864943,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2016,,,IUCN (International Union for Conservation of Nature) 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,512,self,Addax,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Addax,https://www.wikidata.org/entity/Q190154,https://commons.wikimedia.org/wiki/Special:FilePath/Addax%20%28Addax%20nasomaculatus%29%20adult%20male%20and%20juvenile.jpg,57549
700,22197554,2016-03-01T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/700/22197554,"Roach, N. 2016. Cuniculus taczanowskii. The IUCN Red List of Threatened Species 2016: e.T700A22197554. Accessed on 22 June 2026.",Cuniculus taczanowskii,Mountain Paca,NT,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,NT,Mammals,True,False,NT,-78.86397237211587,-2.8688504658217577,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,700,self,406834.50584092655,406834.50584092655,406834.50584092655,,MAMMALS_PART1.shp,IUCN SSC Small Mammal Specialist Group,2016,,,IUCN SSC Small Mammal Specialist Group 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,700,self,Mountain_paca,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Mountain_paca,https://www.wikidata.org/entity/Q1034944,https://commons.wikimedia.org/wiki/Special:FilePath/Cuniculus%20taczanowskii.jpg,4620
712,121745669,2016-04-11T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/712/121745669,"Swaisgood, R., Wang, D. & Wei, F. 2016. Ailuropoda melanoleuca (errata version published in 2017). The IUCN Red List of Threatened Species 2016: e.T712A121745669. Accessed on 22 June 2026.",Ailuropoda melanoleuca,Giant Panda,VU,Increasing,500-1000,,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,104.08003145099016,31.43406715292505,range_polygon,1,1,39,1,39,200,1.0,1,Extant,1,Resident,712,self,25627.422647420328,25627.422647420328,25627.422647420328,,MAMMALS_PART1.shp,Dajun Wang,2016,,,Dajun Wang 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,712,self,Giant_panda,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Giant_panda,https://www.wikidata.org/entity/Q33602,https://commons.wikimedia.org/wiki/Special:FilePath/Giant%20Panda%202004-03-2.jpg,1002114
714,110023718,2015-04-11T01:00:00.000+01:00,2015,https://www.iucnredlist.org/species/714/110023718,"Glatston, A., Wei, F., Than Zaw & Sherpa, A. 2015. Ailurus fulgens (errata version published in 2017). The IUCN Red List of Threatened Species 2015: e.T714A110023718. Accessed on 22 June 2026.",Ailurus fulgens,Red Panda,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,96.57123493831229,28.60578998359344,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,714,self,338785.6475027771,338785.6475027771,338785.6475027771,,MAMMALS_PART2.shp,International Union for the Conservation of Nature,2015,,,International Union for the Conservation of Nature 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,714,self,Red_panda,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Red_panda,https://www.wikidata.org/entity/Q41960,https://commons.wikimedia.org/wiki/Special:FilePath/RedPanda%20SingalilaNationalPark%20DFrame.jpg,740648
741,22382354,2016-07-11T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/741/22382354,"Alvarado Serrano, D. 2019. Neomicroxus latebricola. The IUCN Red List of Threatened Species 2019: e.T741A22382354. Accessed on 22 June 2026.",Neomicroxus latebricola,Ecuadorean Grass Mouse,EN,Decreasing,,112,13276.68,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,-78.1518129723629,-0.3440122116868222,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,741,self,29941.36535570077,29941.36535570077,29941.36535570077,,MAMMALS_PART2.shp,IUCN SSC Small Mammal Specialist Group,2019,,,IUCN SSC Small Mammal Specialist Group 2019. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,741,self,Ecuadorian_grass_mouse,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Ecuadorian_grass_mouse,https://www.wikidata.org/entity/Q305746,,297
754,22337774,2016-07-11T01:00:00.000+01:00,2018,https://www.iucnredlist.org/species/754/22337774,"D'Elia, G. & Patterson, B. 2018. Abrothrix sanborni. The IUCN Red List of Threatened Species 2018: e.T754A22337774. Accessed on 22 June 2026.",Abrothrix sanborni,Sanborn's Grass Mouse,NT,Decreasing,,,24806.11,species,,[],MAMMALIA,MAMMALS,NT,Mammals,True,False,NT,-73.78618844587152,-43.29392520450199,range_polygon,1,1,2,1,2,200,1.0,1,Extant,1,Resident,754,self,4565.136812845708,4565.136812845708,4565.136812845708,,MAMMALS_PART2.shp,IUCN SSC Small Mammal Specialist Group,2017,,,IUCN SSC Small Mammal Specialist Group 2017. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,754,self,Abrothrix_sanborni,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Abrothrix_sanborni,https://www.wikidata.org/entity/Q308783,https://commons.wikimedia.org/wiki/Special:FilePath/Abrothrix%20sanborni.jpg,302
757,22381246,2017-01-15T00:00:00.000+00:00,2018,https://www.iucnredlist.org/species/757/22381246,"Roach, N. & Naylor, L. 2018. Akodon siberiae. The IUCN Red List of Threatened Species 2018: e.T757A22381246. Accessed on 22 June 2026.",Akodon siberiae,Cochabamba Grass Mouse,NT,Decreasing,,,25743.39,species,,[],MAMMALIA,MAMMALS,NT,Mammals,True,False,NT,-65.12971051947272,-17.478428687778308,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,757,self,25234.896025138,25234.896025138,25234.896025138,,MAMMALS_PART2.shp,IUCN SSC Small Mammal Specialist Group,2017,,,IUCN SSC Small Mammal Specialist Group 2017. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,757,self,Cochabamba_grass_mouse,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Cochabamba_grass_mouse,https://www.wikidata.org/entity/Q1767750,,184
761,22382206,2017-01-15T00:00:00.000+00:00,2018,https://www.iucnredlist.org/species/761/22382206,"Zeballos, H. & Vivar, E. 2018. Akodon surdus. The IUCN Red List of Threatened Species 2018: e.T761A22382206. Accessed on 22 June 2026.",Akodon surdus,Silent Grass Mouse,VU,Unknown,,,16896.18,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,-72.44933306936363,-13.00214099326602,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,761,self,16433.210363873677,16433.210363873677,16433.210363873677,,MAMMALS_PART1.shp,IUCN SSC Small Mammal Specialist Group,2017,,,IUCN SSC Small Mammal Specialist Group 2017. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,761,self,Silent_grass_mouse,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Silent_grass_mouse,https://www.wikidata.org/entity/Q307044,,181
868,115559302,2018-05-07T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/868/115559302,"Louis Jr, E.E., Frasier, C.L., Bezandry, N., Sefczek, T.M., Bailey, C.A., Mittermeier, R.A., Mittermeier, J. & Réné De Roland, L.A. 2020. Allocebus trichotis. The IUCN Red List of Threatened Species 2020: e.T868A115559302. Accessed on 22 June 2026.",Allocebus trichotis,Hairy-eared Dwarf Lemur,EN,Decreasing,,,61651,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,50.12363676133593,-15.578704558266226,range_polygon,1,1,14,1,14,200,1.0,1,Extant,1,Resident,868,self,7257.097194944368,7257.097194944368,7257.097194944368,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2020,,,IUCN (International Union for Conservation of Nature) 2020. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,868,self,Hairy-eared_dwarf_lemur,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Hairy-eared_dwarf_lemur,https://www.wikidata.org/entity/Q907863,https://commons.wikimedia.org/wiki/Special:FilePath/ChirogaleusTrichotisWolf.jpg,2777
914,17926000,2020-03-02T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/914/17926000,"Cortes-Ortíz, L., Rosales-Meda, M., Marsh, L.K. & Mittermeier, R.A. 2020. Alouatta pigra. The IUCN Red List of Threatened Species 2020: e.T914A17926000. Accessed on 22 June 2026.",Alouatta pigra,Yucatán Black Howler Monkey,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,-89.79182568180003,17.98524581617126,range_polygon,1,1,1523,1,1523,200,1.0,1,Extant,1,Resident,914,self,246670.67433332957,246670.67433332957,246670.67433332957,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2020,,,IUCN (International Union for Conservation of Nature) 2020. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,914,self,Yucatán_black_howler,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Yucat%C3%A1n_black_howler,https://www.wikidata.org/entity/Q849419,https://commons.wikimedia.org/wiki/Special:FilePath/Yucat%C3%A1n%20black%20howler%20%28Alouatta%20pigra%29%20Peten.jpg,7684
918,190435652,2020-07-27T01:00:00.000+01:00,2021,https://www.iucnredlist.org/species/918/190435652,"Fialho, M.S., Jerusalinsky, L., Ferreira, J.G., Pinto, T., Laroque, P.O., Cortes-Ortíz, L. & Freire Filho, R. 2021. Alouatta ululata. The IUCN Red List of Threatened Species 2021: e.T918A190435652. Accessed on 22 June 2026.",Alouatta ululata,Maranhão Red-handed Howler Monkey,EN,Decreasing,250-2500,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,-41.818077846344245,-3.7270002041984833,range_polygon,1,1,44,1,44,200,1.0,1,Extant,1,Resident,918,self,99401.18508536322,99401.18508536322,99401.18508536322,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,918,self,Maranhão_red-handed_howler,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Maranh%C3%A3o_red-handed_howler,https://www.wikidata.org/entity/Q1353729,,1254
953,115054544,2016-04-19T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/953/115054544,"Molur, S. 2016. Alticola montosa (errata version published in 2017). The IUCN Red List of Threatened Species 2016: e.T953A115054544. Accessed on 22 June 2026.",Alticola montosa,Central Kashmir Vole,VU,Decreasing,,500-2000,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,75.15877895723577,34.45643950082561,range_polygon,1,1,2,2,1,200,0.97937141484858,1,Extant,1,Resident,953,self,19454.212768073165,19052.899883433125,19052.899883433125,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,953,self,Central_Kashmir_vole,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Central_Kashmir_vole,https://www.wikidata.org/entity/Q1763129,,401
954,115054678,2016-07-11T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/954/115054678,"Kennerley, R. 2016. Alticola roylei (errata version published in 2017). The IUCN Red List of Threatened Species 2016: e.T954A115054678. Accessed on 22 June 2026.",Alticola roylei,Royle's Mountain Vole,NT,Decreasing,,10-500,45190,species,,[],MAMMALIA,MAMMALS,NT,Mammals,True,False,NT,78.31086617569719,31.362146237735317,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,954,self,38431.23561323677,38431.23561323677,38431.23561323677,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,954,self,Royle's_mountain_vole,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Royle%27s_mountain_vole,https://www.wikidata.org/entity/Q1768528,,519
1087,21283546,2014-02-12T00:00:00.000+00:00,2015,https://www.iucnredlist.org/species/1087/21283546,"Maree, S. 2015. Neamblysomus gunningi. The IUCN Red List of Threatened Species 2015: e.T1087A21283546. Accessed on 22 June 2026.",Neamblysomus gunningi,Gunning's Golden Mole,EN,Unknown,,96,1327,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,30.15854524341185,-23.675576958735636,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,1087,self,9740.3901466906,9740.3901466906,9740.3901466906,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,1087,self,Gunning's_golden_mole,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Gunning%27s_golden_mole,https://www.wikidata.org/entity/Q82399,,858
1089,21285354,2014-01-27T00:00:00.000+00:00,2015,https://www.iucnredlist.org/species/1089/21285354,"Maree, S. 2015. Neamblysomus julianae. The IUCN Red List of Threatened Species 2015: e.T1089A21285354. Accessed on 22 June 2026.",Neamblysomus julianae,Juliana's Golden Mole,EN,Unknown,,160,44000,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,31.250388758794664,-24.949307196844835,range_polygon,1,1,4,1,4,200,1.0,1,Extant,1,Resident,1089,self,11921.500456901384,11921.500456901384,11921.500456901384,,MAMMALS_PART1.shp,Gary Bronner; IUCN (International Union for Conservation of Nature),2015,,,Gary Bronner; IUCN (International Union for Conservation of Nature) 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,1089,self,Juliana's_golden_mole,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Juliana%27s_golden_mole,https://www.wikidata.org/entity/Q304310,https://commons.wikimedia.org/wiki/Special:FilePath/The%20Juliana%E2%80%99s%20golden%20mole%20is%20one%20of%20Africa%E2%80%99s%20most%20threatened%20mammals%20Jackson.png,2511
1141,50181613,2016-04-17T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/1141/50181613,"Heckel, J., Wilhelmi, F., Kaariye, X. & Amir, O. 2016. Ammodorcas clarkei. The IUCN Red List of Threatened Species 2016: e.T1141A50181613. Accessed on 22 June 2026.",Ammodorcas clarkei,Dibatag,VU,Decreasing,2800,,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,46.05202181823457,6.275832716797167,range_polygon,1,1,3,1,3,200,1.0,1,Extant,1,Resident,1141,self,83630.3753398268,83630.3753398268,83630.3753398268,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2016,,,IUCN (International Union for Conservation of Nature) 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,1141,self,Dibatag,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Dibatag,https://www.wikidata.org/entity/Q747627,https://commons.wikimedia.org/wiki/Special:FilePath/AmmodorcasClarkeiSmit.jpg,14020
1149,22251492,2016-07-11T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/1149/22251492,"Koprowski, J. 2017. Ammospermophilus nelsoni. The IUCN Red List of Threatened Species 2017: e.T1149A22251492. Accessed on 22 June 2026.",Ammospermophilus nelsoni,Nelson's Antelope Squirrel,EN,Decreasing,,415,21264.37,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,-119.8934584336018,35.76403518824434,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,1149,self,16355.186711860097,16355.186711860097,16355.186711860097,,MAMMALS_PART1.shp,IUCN SSC Small Mammal Specialist Group,2017,,,IUCN SSC Small Mammal Specialist Group 2017. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,1149,self,San_Joaquin_antelope_squirrel,en,en.wikipedia.org,https://en.wikipedia.org/wiki/San_Joaquin_antelope_squirrel,https://www.wikidata.org/entity/Q308775,https://commons.wikimedia.org/wiki/Special:FilePath/Ammospermophilus%20nelsoni%20347752296.jpg,2423
